'1번째 선수
공격력(205) = "850"
견제(205) = "650"
전략(205) = "550"
물량(205) = "350"
수비력(205) = "450"
정찰(205) = "450"
센스(205) = "450"
컨트롤(205) = "700"

'206번째 선수
이름(206) = "권수현"
랭크(206) = "Normal"
OYear(206) = "<07>"
Team(206) = "CJ"
종족(206) = "2"
공격력(206) = "600"
견제(206) = "550"
전략(206) = "550"
물량(206) = "700"
수비력(206) = "650"
정찰(206) = "600"
센스(206) = "500"
컨트롤(206) = "550"

'207번째 선수
이름(207) = "김민호"
랭크(207) = "Normal"
OYear(207) = "<07>"
Team(207) = "CJ"
종족(207) = "2"
공격력(207) = "650"
견제(207) = "500"
전략(207) = "450"
물량(207) = "550"
수비력(207) = "450"
정찰(207) = "450"
센스(207) = "400"
컨트롤(207) = "550"

'208번째 선수
이름(208) = "김성기"
랭크(208) = "Special"
OYear(208) = "<07>"
Team(208) = "CJ"
종족(208) = "1"
공격력(208) = "850"
견제(208) = "550"
전략(208) = "500"
물량(208) = "850"
수비력(208) = "750"
정찰(208) = "650"
센스(208) = "550"
컨트롤(208) = "500"

'209번째 선수
이름(209) = "마재윤"
랭크(209) = "Secret"
OYear(209) = "<07>"
Team(209) = "CJ"
종족(209) = "2"
공격력(209) = "800"
견제(209) = "800"
전략(209) = "800"
물량(209) = "900"
수비력(209) = "900"
정찰(209) = "850"
센스(209) = "800"
컨트롤(209) = "750"

'210번째 선수
이름(210) = "박영민"
랭크(210) = "Normal"
OYear(210) = "<07>"
Team(210) = "CJ"
종족(210) = "3"
공격력(210) = "700"
견제(210) = "550"
전략(210) = "750"
물량(210) = "650"
수비력(210) = "550"
정찰(210) = "650"
센스(210) = "650"
컨트롤(210) = "650"

'211번째 선수
이름(211) = "변형태"
랭크(211) = "Rare"
OYear(211) = "<07>"
Team(211) = "CJ"
종족(211) = "1"
공격력(211) = "900"
견제(211) = "750"
전략(211) = "550"
물량(211) = "700"
수비력(211) = "650"
정찰(211) = "550"
센스(211) = "750"
컨트롤(211) = "750"

'212번째 선수
이름(212) = "서지훈"
랭크(212) = "Normal"
OYear(212) = "<07>"
Team(212) = "CJ"
종족(212) = "1"
공격력(212) = "600"
견제(212) = "600"
전략(212) = "600"
물량(212) = "650"
수비력(212) = "650"
정찰(212) = "650"
센스(212) = "700"
컨트롤(212) = "750"

'213번째 선수
이름(213) = "손재범"
랭크(213) = "Normal"
OYear(213) = "<07>"
Team(213) = "CJ"
종족(213) = "3"
공격력(213) = "650"
견제(213) = "550"
전략(213) = "500"
물량(213) = "650"
수비력(213) = "550"
정찰(213) = "500"
센스(213) = "500"
컨트롤(213) = "500"

'214번째 선수
이름(214) = "장육"
랭크(214) = "Normal"
OYear(214) = "<07>"
Team(214) = "CJ"
종족(214) = "2"
공격력(214) = "650"
견제(214) = "600"
전략(214) = "650"
물량(214) = "650"
수비력(214) = "600"
정찰(214) = "600"
센스(214) = "550"
컨트롤(214) = "650"

'215번째 선수
이름(215) = "조병세"
랭크(215) = "Normal"
OYear(215) = "<07>"
Team(215) = "CJ"
종족(215) = "1"
공격력(215) = "550"
견제(215) = "550"
전략(215) = "550"
물량(215) = "600"
수비력(215) = "550"
정찰(215) = "450"
센스(215) = "400"
컨트롤(215) = "550"

'216번째 선수
이름(216) = "주현준"
랭크(216) = "Normal"
OYear(216) = "<07>"
Team(216) = "CJ"
종족(216) = "1"
공격력(216) = "650"
견제(216) = "500"
전략(216) = "550"
물량(216) = "650"
수비력(216) = "650"
정찰(216) = "550"
센스(216) = "500"
컨트롤(216) = "600"

'217번째 선수
이름(217) = "한상봉"
랭크(217) = "Normal"
OYear(217) = "<07>"
Team(217) = "CJ"
종족(217) = "2"
공격력(217) = "850"
견제(217) = "700"
전략(217) = "650"
물량(217) = "550"
수비력(217) = "450"
정찰(217) = "550"
센스(217) = "650"
컨트롤(217) = "700"

'218번째 선수
이름(218) = "김광섭"
랭크(218) = "Normal"
OYear(218) = "<07>"
Team(218) = "온게임넷"
종족(218) = "2"
공격력(218) = "500"
견제(218) = "600"
전략(218) = "500"
물량(218) = "550"
수비력(218) = "600"
정찰(218) = "600"
센스(218) = "500"
컨트롤(218) = "600"

'219번째 선수
이름(219) = "김상욱"
랭크(219) = "Normal"
OYear(219) = "<07>"
Team(219) = "온게임넷"
종족(219) = "2"
공격력(219) = "700"
견제(219) = "650"
전략(219) = "550"
물량(219) = "650"
수비력(219) = "500"
정찰(219) = "650"
센스(219) = "500"
컨트롤(219) = "650"

'220번째 선수
이름(220) = "신상문"
랭크(220) = "Normal"
OYear(220) = "<07>"
Team(220) = "온게임넷"
종족(220) = "1"
공격력(220) = "600"
견제(220) = "600"
전략(220) = "550"
물량(220) = "600"
수비력(220) = "550"
정찰(220) = "500"
센스(220) = "500"
컨트롤(220) = "600"

'221번째 선수
이름(221) = "안상원"
랭크(221) = "Normal"
OYear(221) = "<07>"
Team(221) = "온게임넷"
종족(221) = "1"
공격력(221) = "600"
견제(221) = "550"
전략(221) = "550"
물량(221) = "650"
수비력(221) = "650"
정찰(221) = "600"
센스(221) = "500"
컨트롤(221) = "500"

'222번째 선수
이름(222) = "이승훈"
랭크(222) = "Normal"
OYear(222) = "<07>"
Team(222) = "온게임넷"
종족(222) = "3"
공격력(222) = "700"
견제(222) = "750"
전략(222) = "650"
물량(222) = "600"
수비력(222) = "550"
정찰(222) = "550"
센스(222) = "750"
컨트롤(222) = "650"

'223번째 선수
이름(223) = "이종미"
랭크(223) = "Normal"
OYear(223) = "<07>"
Team(223) = "온게임넷"
종족(223) = "2"
공격력(223) = "300"
견제(223) = "250"
전략(223) = "300"
물량(223) = "350"
수비력(223) = "350"
정찰(223) = "350"
센스(223) = "300"
컨트롤(223) = "300"

'224번째 선수
이름(224) = "임원기"
랭크(224) = "Normal"
OYear(224) = "<07>"
Team(224) = "온게임넷"
종족(224) = "3"
공격력(224) = "600"
견제(224) = "600"
전략(224) = "500"
물량(224) = "600"
수비력(224) = "450"
정찰(224) = "550"
센스(224) = "500"
컨트롤(224) = "650"

'225번째 선수
이름(225) = "전태규"
랭크(225) = "Normal"
OYear(225) = "<07>"
Team(225) = "온게임넷"
종족(225) = "3"
공격력(225) = "650"
견제(225) = "450"
전략(225) = "600"
물량(225) = "650"
수비력(225) = "500"
정찰(225) = "700"
센스(225) = "600"
컨트롤(225) = "450"

'226번째 선수
이름(226) = "차재욱"
랭크(226) = "Normal"
OYear(226) = "<07>"
Team(226) = "온게임넷"
종족(226) = "1"
공격력(226) = "550"
견제(226) = "450"
전략(226) = "500"
물량(226) = "500"
수비력(226) = "600"
정찰(226) = "550"
센스(226) = "550"
컨트롤(226) = "550"

'227번째 선수
이름(227) = "곽동훈"
랭크(227) = "Normal"
OYear(227) = "<07>"
Team(227) = "eSTRO"
종족(227) = "2"
공격력(227) = "500"
견제(227) = "450"
전략(227) = "600"
물량(227) = "600"
수비력(227) = "550"
정찰(227) = "450"
센스(227) = "450"
컨트롤(227) = "500"

'228번째 선수
이름(228) = "김덕인"
랭크(228) = "Normal"
OYear(228) = "<07>"
Team(228) = "eSTRO"
종족(228) = "3"
공격력(228) = "550"
견제(228) = "450"
전략(228) = "500"
물량(228) = "600"
수비력(228) = "500"
정찰(228) = "550"
센스(228) = "450"
컨트롤(228) = "450"

'229번째 선수
이름(229) = "김민구"
랭크(229) = "Normal"
OYear(229) = "<07>"
Team(229) = "eSTRO"
종족(229) = "2"
공격력(229) = "650"
견제(229) = "600"
전략(229) = "500"
물량(229) = "500"
수비력(229) = "650"
정찰(229) = "600"
센스(229) = "500"
컨트롤(229) = "650"

'230번째 선수
이름(230) = "김원기"
랭크(230) = "Normal"
OYear(230) = "<07>"
Team(230) = "eSTRO"
종족(230) = "2"
공격력(230) = "600"
견제(230) = "600"
전략(230) = "600"
물량(230) = "700"
수비력(230) = "550"
정찰(230) = "550"
센스(230) = "600"
컨트롤(230) = "700"

'231번째 선수
이름(231) = "남승현"
랭크(231) = "Normal"
OYear(231) = "<07>"
Team(231) = "eSTRO"
종족(231) = "1"
공격력(231) = "650"
견제(231) = "500"
전략(231) = "500"
물량(231) = "450"
수비력(231) = "550"
정찰(231) = "500"
센스(231) = "450"
컨트롤(231) = "550"

'232번째 선수
이름(232) = "박문기"
랭크(232) = "Normal"
OYear(232) = "<07>"
Team(232) = "eSTRO"
종족(232) = "2"
공격력(232) = "700"
견제(232) = "700"
전략(232) = "450"
물량(232) = "750"
수비력(232) = "600"
정찰(232) = "550"
센스(232) = "550"
컨트롤(232) = "700"

'233번째 선수
이름(233) = "서기수"
랭크(233) = "Normal"
OYear(233) = "<07>"
Team(233) = "eSTRO"
종족(233) = "3"
공격력(233) = "800"
견제(233) = "550"
전략(233) = "550"
물량(233) = "800"
수비력(233) = "600"
정찰(233) = "600"
센스(233) = "650"
컨트롤(233) = "600"

'234번째 선수
이름(234) = "신상호"
랭크(234) = "Normal"
OYear(234) = "<07>"
Team(234) = "eSTRO"
종족(234) = "3"
공격력(234) = "600"
견제(234) = "600"
전략(234) = "550"
물량(234) = "750"
수비력(234) = "650"
정찰(234) = "550"
센스(234) = "500"
컨트롤(234) = "600"

'235번째 선수
이름(235) = "조용성"
랭크(235) = "Normal"
OYear(235) = "<07>"
Team(235) = "eSTRO"
종족(235) = "2"
공격력(235) = "650"
견제(235) = "550"
전략(235) = "500"
물량(235) = "550"
수비력(235) = "600"
정찰(235) = "500"
센스(235) = "450"
컨트롤(235) = "550"

'236번째 선수
이름(236) = "최욱명"
랭크(236) = "Normal"
OYear(236) = "<07>"
Team(236) = "eSTRO"
종족(236) = "1"
공격력(236) = "550"
견제(236) = "500"
전략(236) = "450"
물량(236) = "600"
수비력(236) = "650"
정찰(236) = "550"
센스(236) = "450"
컨트롤(236) = "500"

'237번째 선수
이름(237) = "강도경"
랭크(237) = "Normal"
OYear(237) = "<07>"
Team(237) = "공군"
종족(237) = "2"
공격력(237) = "600"
견제(237) = "550"
전략(237) = "450"
물량(237) = "500"
수비력(237) = "400"
정찰(237) = "400"
센스(237) = "450"
컨트롤(237) = "450"

'238번째 선수
이름(238) = "김선기"
랭크(238) = "Normal"
OYear(238) = "<07>"
Team(238) = "공군"
종족(238) = "1"
공격력(238) = "550"
견제(238) = "450"
전략(238) = "400"
물량(238) = "650"
수비력(238) = "550"
정찰(238) = "500"
센스(238) = "450"
컨트롤(238) = "450"

'239번째 선수
이름(239) = "김환중"
랭크(239) = "Normal"
OYear(239) = "<07>"
Team(239) = "공군"
종족(239) = "3"
공격력(239) = "600"
견제(239) = "450"
전략(239) = "450"
물량(239) = "550"
수비력(239) = "550"
정찰(239) = "550"
센스(239) = "500"
컨트롤(239) = "500"

'240번째 선수
이름(240) = "박대만"
랭크(240) = "Normal"
OYear(240) = "<07>"
Team(240) = "공군"
종족(240) = "3"
공격력(240) = "700"
견제(240) = "450"
전략(240) = "400"
물량(240) = "700"
수비력(240) = "450"
정찰(240) = "550"
센스(240) = "450"
컨트롤(240) = "500"

'241번째 선수
이름(241) = "성학승"
랭크(241) = "Normal"
OYear(241) = "<07>"
Team(241) = "공군"
종족(241) = "2"
공격력(241) = "650"
견제(241) = "500"
전략(241) = "450"
물량(241) = "650"
수비력(241) = "500"
정찰(241) = "450"
센스(241) = "450"
컨트롤(241) = "550"

'242번째 선수
이름(242) = "이재훈"
랭크(242) = "Normal"
OYear(242) = "<07>"
Team(242) = "공군"
종족(242) = "3"
공격력(242) = "700"
견제(242) = "400"
전략(242) = "400"
물량(242) = "650"
수비력(242) = "450"
정찰(242) = "550"
센스(242) = "400"
컨트롤(242) = "550"

'243번째 선수
이름(243) = "이주영"
랭크(243) = "Normal"
OYear(243) = "<07>"
Team(243) = "공군"
종족(243) = "2"
공격력(243) = "550"
견제(243) = "450"
전략(243) = "550"
물량(243) = "850"
수비력(243) = "850"
정찰(243) = "550"
센스(243) = "600"
컨트롤(243) = "500"

'244번째 선수
이름(244) = "임요환"
랭크(244) = "Normal"
OYear(244) = "<07>"
Team(244) = "공군"
종족(244) = "1"
공격력(244) = "650"
견제(244) = "750"
전략(244) = "700"
물량(244) = "450"
수비력(244) = "500"
정찰(244) = "650"
센스(244) = "850"
컨트롤(244) = "600"

'245번째 선수
이름(245) = "조형근"
랭크(245) = "Normal"
OYear(245) = "<07>"
Team(245) = "공군"
종족(245) = "2"
공격력(245) = "550"
견제(245) = "500"
전략(245) = "650"
물량(245) = "450"
수비력(245) = "650"
정찰(245) = "550"
센스(245) = "550"
컨트롤(245) = "500"

'246번째 선수
이름(246) = "최인규"
랭크(246) = "Normal"
OYear(246) = "<07>"
Team(246) = "공군"
종족(246) = "1"
공격력(246) = "450"
견제(246) = "450"
전략(246) = "450"
물량(246) = "450"
수비력(246) = "550"
정찰(246) = "500"
센스(246) = "450"
컨트롤(246) = "500"

'247번째 선수
이름(247) = "김상우"
랭크(247) = "Normal"
OYear(247) = "<07>"
Team(247) = "위메이드"
종족(247) = "1"
공격력(247) = "700"
견제(247) = "500"
전략(247) = "500"
물량(247) = "450"
수비력(247) = "400"
정찰(247) = "450"
센스(247) = "400"
컨트롤(247) = "600"

'248번째 선수
이름(248) = "김재춘"
랭크(248) = "Special"
OYear(248) = "<07>"
Team(248) = "위메이드"
종족(248) = "2"
공격력(248) = "750"
견제(248) = "550"
전략(248) = "500"
물량(248) = "650"
수비력(248) = "800"
정찰(248) = "600"
센스(248) = "550"
컨트롤(248) = "800"

'249번째 선수
이름(249) = "나도현"
랭크(249) = "Normal"
OYear(249) = "<07>"
Team(249) = "위메이드"
종족(249) = "1"
공격력(249) = "700"
견제(249) = "600"
전략(249) = "600"
물량(249) = "350"
수비력(249) = "450"
정찰(249) = "450"
센스(249) = "550"
컨트롤(249) = "700"

'250번째 선수
이름(250) = "박영훈"
랭크(250) = "Normal"
OYear(250) = "<07>"
Team(250) = "위메이드"
종족(250) = "2"
공격력(250) = "700"
견제(250) = "550"
전략(250) = "550"
물량(250) = "400"
수비력(250) = "400"
정찰(250) = "450"
센스(250) = "400"
컨트롤(250) = "600"

'251번째 선수
이름(251) = "박세정"
랭크(251) = "Normal"
OYear(251) = "<07>"
Team(251) = "위메이드"
종족(251) = "3"
공격력(251) = "600"
견제(251) = "750"
전략(251) = "600"
물량(251) = "500"
수비력(251) = "650"
정찰(251) = "600"
센스(251) = "500"
컨트롤(251) = "600"

'252번째 선수
이름(252) = "박성균"
랭크(252) = "Unique"
OYear(252) = "<07>"
Team(252) = "위메이드"
종족(252) = "1"
공격력(252) = "750"
견제(252) = "600"
전략(252) = "600"
물량(252) = "850"
수비력(252) = "900"
정찰(252) = "800"
센스(252) = "750"
컨트롤(252) = "750"

'253번째 선수
이름(253) = "손영훈"
랭크(253) = "Normal"
OYear(253) = "<07>"
Team(253) = "위메이드"
종족(253) = "3"
공격력(253) = "500"
견제(253) = "650"
전략(253) = "650"
물량(253) = "500"
수비력(253) = "650"
정찰(253) = "600"
센스(253) = "500"
컨트롤(253) = "500"

'254번째 선수
이름(254) = "심소명"
랭크(254) = "Normal"
OYear(254) = "<07>"
Team(254) = "위메이드"
종족(254) = "2"
공격력(254) = "650"
견제(254) = "500"
전략(254) = "750"
물량(254) = "550"
수비력(254) = "550"
정찰(254) = "550"
센스(254) = "650"
컨트롤(254) = "500"

'255번째 선수
이름(255) = "안기효"
랭크(255) = "Rare"
OYear(255) = "<07>"
Team(255) = "위메이드"
종족(255) = "3"
공격력(255) = "800"
견제(255) = "550"
전략(255) = "650"
물량(255) = "900"
수비력(255) = "750"
정찰(255) = "600"
센스(255) = "600"
컨트롤(255) = "850"

'256번째 선수
이름(256) = "임동혁"
랭크(256) = "Normal"
OYear(256) = "<07>"
Team(256) = "위메이드"
종족(256) = "2"
공격력(256) = "550"
견제(256) = "550"
전략(256) = "650"
물량(256) = "450"
수비력(256) = "500"
정찰(256) = "500"
센스(256) = "400"
컨트롤(256) = "500"

'257번째 선수
이름(257) = "이윤열"
랭크(257) = "Rare"
OYear(257) = "<07>"
Team(257) = "위메이드"
종족(257) = "1"
공격력(257) = "600"
견제(257) = "600"
전략(257) = "700"
물량(257) = "800"
수비력(257) = "750"
정찰(257) = "650"
센스(257) = "750"
컨트롤(257) = "750"

'258번째 선수
이름(258) = "전태양"
랭크(258) = "Normal"
OYear(258) = "<07>"
Team(258) = "위메이드"
종족(258) = "1"
공격력(258) = "550"
견제(258) = "450"
전략(258) = "450"
물량(258) = "650"
수비력(258) = "600"
정찰(258) = "500"
센스(258) = "400"
컨트롤(258) = "500"

'259번째 선수
이름(259) = "한동욱"
랭크(259) = "Normal"
OYear(259) = "<07>"
Team(259) = "위메이드"
종족(259) = "1"
공격력(259) = "800"
견제(259) = "800"
전략(259) = "550"
물량(259) = "400"
수비력(259) = "400"
정찰(259) = "450"
센스(259) = "550"
컨트롤(259) = "900"

'260번째 선수
이름(260) = "한동훈"
랭크(260) = "Normal"
OYear(260) = "<07>"
Team(260) = "위메이드"
종족(260) = "3"
공격력(260) = "650"
견제(260) = "650"
전략(260) = "550"
물량(260) = "700"
수비력(260) = "550"
정찰(260) = "550"
센스(260) = "500"
컨트롤(260) = "650"

'261번째 선수
이름(261) = "고강민"
랭크(261) = "Normal"
OYear(261) = "<08>"
Team(261) = "KTF"
종족(261) = "2"
공격력(261) = "500"
견제(261) = "600"
전략(261) = "500"
물량(261) = "600"
수비력(261) = "650"
정찰(261) = "550"
센스(261) = "500"
컨트롤(261) = "500"

'262번째 선수
이름(262) = "김대엽"
랭크(262) = "Normal"
OYear(262) = "<08>"
Team(262) = "KTF"
종족(262) = "3"
공격력(262) = "600"
견제(262) = "650"
전략(262) = "500"
물량(262) = "600"
수비력(262) = "450"
정찰(262) = "500"
센스(262) = "650"
컨트롤(262) = "500"

'263번째 선수
이름(263) = "김영진"
랭크(263) = "Normal"
OYear(263) = "<08>"
Team(263) = "KTF"
종족(263) = "1"
공격력(263) = "750"
견제(263) = "600"
전략(263) = "650"
물량(263) = "550"
수비력(263) = "500"
정찰(263) = "500"
센스(263) = "550"
컨트롤(263) = "600"

'264번째 선수
이름(264) = "김윤환"
랭크(264) = "Normal"
OYear(264) = "<08>"
Team(264) = "KTF"
종족(264) = "1"
공격력(264) = "650"
견제(264) = "550"
전략(264) = "500"
물량(264) = "650"
수비력(264) = "600"
정찰(264) = "500"
센스(264) = "450"
컨트롤(264) = "600"

'265번째 선수
이름(265) = "김재춘"
랭크(265) = "Normal"
OYear(265) = "<08>"
Team(265) = "KTF"
종족(265) = "2"
공격력(265) = "700"
견제(265) = "600"
전략(265) = "550"
물량(265) = "600"
수비력(265) = "550"
정찰(265) = "600"
센스(265) = "600"
컨트롤(265) = "650"

'266번째 선수
이름(266) = "박재영"
랭크(266) = "Normal"
OYear(266) = "<08>"
Team(266) = "KTF"
종족(266) = "3"
공격력(266) = "600"
견제(266) = "650"
전략(266) = "650"
물량(266) = "850"
수비력(266) = "550"
정찰(266) = "500"
센스(266) = "600"
컨트롤(266) = "500"

'267번째 선수
이름(267) = "박준우"
랭크(267) = "Normal"
OYear(267) = "<08>"
Team(267) = "KTF"
종족(267) = "2"
공격력(267) = "650"
견제(267) = "650"
전략(267) = "500"
물량(267) = "550"
수비력(267) = "450"
정찰(267) = "400"
센스(267) = "500"
컨트롤(267) = "600"

'268번째 선수
이름(268) = "배병우"
랭크(268) = "Normal"
OYear(268) = "<08>"
Team(268) = "KTF"
종족(268) = "2"
공격력(268) = "700"
견제(268) = "550"
전략(268) = "550"
물량(268) = "650"
수비력(268) = "550"
정찰(268) = "600"
센스(268) = "600"
컨트롤(268) = "600"

'269번째 선수
이름(269) = "우정호"
랭크(269) = "Normal"
OYear(269) = "<08>"
Team(269) = "KTF"
종족(269) = "3"
공격력(269) = "550"
견제(269) = "600"
전략(269) = "550"
물량(269) = "650"
수비력(269) = "550"
정찰(269) = "500"
센스(269) = "550"
컨트롤(269) = "600"

'270번째 선수
이름(270) = "이영호"
랭크(270) = "Unique"
OYear(270) = "<08>"
Team(270) = "KTF"
종족(270) = "1"
공격력(270) = "650"
견제(270) = "700"
전략(270) = "800"
물량(270) = "850"
수비력(270) = "850"
정찰(270) = "700"
센스(270) = "850"
컨트롤(270) = "600"

'271번째 선수
이름(271) = "이영호1"
랭크(271) = "Normal"
OYear(271) = "<08>"
Team(271) = "KTF"
종족(271) = "3"
공격력(271) = "650"
견제(271) = "550"
전략(271) = "600"
물량(271) = "600"
수비력(271) = "550"
정찰(271) = "500"
센스(271) = "600"
컨트롤(271) = "600"

'272번째 선수
이름(272) = "임재덕"
랭크(272) = "Normal"
OYear(272) = "<08>"
Team(272) = "KTF"
종족(272) = "2"
공격력(272) = "650"
견제(272) = "550"
전략(272) = "550"
물량(272) = "600"
수비력(272) = "600"
정찰(272) = "500"
센스(272) = "450"
컨트롤(272) = "550"

'273번째 선수
이름(273) = "장주현"
랭크(273) = "Normal"
OYear(273) = "<08>"
Team(273) = "KTF"
종족(273) = "3"
공격력(273) = "550"
견제(273) = "500"
전략(273) = "550"
물량(273) = "650"
수비력(273) = "400"
정찰(273) = "600"
센스(273) = "450"
컨트롤(273) = "450"

'274번째 선수
이름(274) = "정명호"
랭크(274) = "Normal"
OYear(274) = "<08>"
Team(274) = "KTF"
종족(274) = "2"
공격력(274) = "650"
견제(274) = "600"
전략(274) = "500"
물량(274) = "600"
수비력(274) = "550"
정찰(274) = "500"
센스(274) = "550"
컨트롤(274) = "600"

'275번째 선수
이름(275) = "김동건"
랭크(275) = "Normal"
OYear(275) = "<08>"
Team(275) = "삼성전자"
종족(275) = "1"
공격력(275) = "600"
견제(275) = "600"
전략(275) = "600"
물량(275) = "650"
수비력(275) = "650"
정찰(275) = "600"
센스(275) = "600"
컨트롤(275) = "550"

'276번째 선수
이름(276) = "박동수"
랭크(276) = "Normal"
OYear(276) = "<08>"
Team(276) = "삼성전자"
종족(276) = "1"
공격력(276) = "600"
견제(276) = "600"
전략(276) = "450"
물량(276) = "450"
수비력(276) = "500"
정찰(276) = "450"
센스(276) = "400"
컨트롤(276) = "650"

'277번째 선수
이름(277) = "박성훈"
랭크(277) = "Normal"
OYear(277) = "<08>"
Team(277) = "삼성전자"
종족(277) = "2"
공격력(277) = "500"
견제(277) = "550"
전략(277) = "700"
물량(277) = "550"
수비력(277) = "600"
정찰(277) = "500"
센스(277) = "650"
컨트롤(277) = "650"

'278번째 선수
이름(278) = "손석희"
랭크(278) = "Normal"
OYear(278) = "<08>"
Team(278) = "삼성전자"
종족(278) = "3"
공격력(278) = "500"
견제(278) = "450"
전략(278) = "550"
물량(278) = "450"
수비력(278) = "600"
정찰(278) = "450"
센스(278) = "550"
컨트롤(278) = "650"

'279번째 선수
이름(279) = "송병구"
랭크(279) = "Elite"
OYear(279) = "<08>"
Team(279) = "삼성전자"
종족(279) = "3"
공격력(279) = "850"
견제(279) = "800"
전략(279) = "800"
물량(279) = "800"
수비력(279) = "800"
정찰(279) = "800"
센스(279) = "650"
컨트롤(279) = "800"

'280번째 선수
이름(280) = "유준희"
랭크(280) = "Normal"
OYear(280) = "<08>"
Team(280) = "삼성전자"
종족(280) = "2"
공격력(280) = "550"
견제(280) = "550"
전략(280) = "600"
물량(280) = "600"
수비력(280) = "550"
정찰(280) = "550"
센스(280) = "500"
컨트롤(280) = "600"

'281번째 선수
이름(281) = "이성은"
랭크(281) = "Rare"
OYear(281) = "<08>"
Team(281) = "삼성전자"
종족(281) = "1"
공격력(281) = "750"
견제(281) = "750"
전략(281) = "700"
물량(281) = "750"
수비력(281) = "650"
정찰(281) = "600"
센스(281) = "850"
컨트롤(281) = "750"

'282번째 선수
이름(282) = "이재황"
랭크(282) = "Normal"
OYear(282) = "<08>"
Team(282) = "삼성전자"
종족(282) = "2"
공격력(282) = "550"
견제(282) = "550"
전략(282) = "500"
물량(282) = "600"
수비력(282) = "600"
정찰(282) = "550"
센스(282) = "500"
컨트롤(282) = "600"

'283번째 선수
이름(283) = "임채성"
랭크(283) = "Normal"
OYear(283) = "<08>"
Team(283) = "삼성전자"
종족(283) = "1"
공격력(283) = "600"
견제(283) = "650"
전략(283) = "500"
물량(283) = "500"
수비력(283) = "400"
정찰(283) = "500"
센스(283) = "500"
컨트롤(283) = "650"

'284번째 선수
이름(284) = "임태규"
랭크(284) = "Normal"
OYear(284) = "<08>"
Team(284) = "삼성전자"
종족(284) = "3"
공격력(284) = "500"
견제(284) = "550"
전략(284) = "450"
물량(284) = "500"
수비력(284) = "400"
정찰(284) = "400"
센스(284) = "400"
컨트롤(284) = "500"

'285번째 선수
이름(285) = "주영달"
랭크(285) = "Normal"
OYear(285) = "<08>"
Team(285) = "삼성전자"
종족(285) = "2"
공격력(285) = "550"
견제(285) = "550"
전략(285) = "500"
물량(285) = "550"
수비력(285) = "500"
정찰(285) = "550"
센스(285) = "600"
컨트롤(285) = "650"

'286번째 선수
이름(286) = "차명환"
랭크(286) = "Normal"
OYear(286) = "<08>"
Team(286) = "삼성전자"
종족(286) = "2"
공격력(286) = "550"
견제(286) = "600"
전략(286) = "550"
물량(286) = "650"
수비력(286) = "650"
정찰(286) = "650"
센스(286) = "650"
컨트롤(286) = "650"

'287번째 선수
이름(287) = "최윤선"
랭크(287) = "Normal"
OYear(287) = "<08>"
Team(287) = "삼성전자"
종족(287) = "3"
공격력(287) = "600"
견제(287) = "450"
전략(287) = "500"
물량(287) = "600"
수비력(287) = "450"
정찰(287) = "450"
센스(287) = "450"
컨트롤(287) = "600"

'288번째 선수
이름(288) = "허영무"
랭크(288) = "Elite"
OYear(288) = "<08>"
Team(288) = "삼성전자"
종족(288) = "3"
공격력(288) = "800"
견제(288) = "800"
전략(288) = "700"
물량(288) = "850"
수비력(288) = "650"
정찰(288) = "700"
센스(288) = "750"
컨트롤(288) = "900"

'289번째 선수
이름(289) = "김경효"
랭크(289) = "Normal"
OYear(289) = "<08>"
Team(289) = "STX"
종족(289) = "1"
공격력(289) = "600"
견제(289) = "650"
전략(289) = "450"
물량(289) = "550"
수비력(289) = "500"
정찰(289) = "500"
센스(289) = "600"
컨트롤(289) = "600"

'290번째 선수
이름(290) = "김구현"
랭크(290) = "Rare"
OYear(290) = "<08>"
Team(290) = "STX"
종족(290) = "3"
공격력(290) = "750"
견제(290) = "850"
전략(290) = "800"
물량(290) = "750"
수비력(290) = "600"
정찰(290) = "700"
센스(290) = "700"
컨트롤(290) = "750"

'291번째 선수
이름(291) = "김민제"
랭크(291) = "Normal"
OYear(291) = "<08>"
Team(291) = "STX"
종족(291) = "3"
공격력(291) = "700"
견제(291) = "550"
전략(291) = "550"
물량(291) = "600"
수비력(291) = "600"
정찰(291) = "500"
센스(291) = "600"
컨트롤(291) = "550"

'292번째 선수
이름(292) = "김윤중"
랭크(292) = "Normal"
OYear(292) = "<08>"
Team(292) = "STX"
종족(292) = "3"
공격력(292) = "650"
견제(292) = "600"
전략(292) = "600"
물량(292) = "650"
수비력(292) = "450"
정찰(292) = "550"
센스(292) = "550"
컨트롤(292) = "600"

'293번째 선수
이름(293) = "김윤환1"
랭크(293) = "Rare"
OYear(293) = "<08>"
Team(293) = "STX"
종족(293) = "2"
공격력(293) = "800"
견제(293) = "700"
전략(293) = "650"
물량(293) = "850"
수비력(293) = "700"
정찰(293) = "600"
센스(293) = "700"
컨트롤(293) = "600"

'294번째 선수
이름(294) = "김현우"
랭크(294) = "Normal"
OYear(294) = "<08>"
Team(294) = "STX"
종족(294) = "2"
공격력(294) = "550"
견제(294) = "550"
전략(294) = "500"
물량(294) = "500"
수비력(294) = "500"
정찰(294) = "500"
센스(294) = "600"
컨트롤(294) = "650"

'295번째 선수
이름(295) = "박성준"
